"username";"taskname";"engineType";"searchquery";"datetimestart";"datetimefinish"
"abdulkhaliq";"Physical-Design";\N;"55";"2020-11-30 20:38:52";"2020-11-30 21:03:14"
"abdulkhaliq";"Physical-Design";\N;"56";"2020-11-30 20:38:52";"2020-11-30 21:03:14"
"abdulkhaliq";"Physical-Design";\N;"57";"2020-11-30 20:38:52";"2020-11-30 21:03:14"
"abdulkhaliq";"JSON-Search";\N;"35";"2020-11-30 18:54:51";"2020-11-30 20:38:53"
"abdulkhaliq";"JSON-Search";\N;"44";"2020-11-30 18:54:51";"2020-11-30 20:38:53"
"abdulkhaliq";"JSON-Search";\N;"51";"2020-11-30 18:54:51";"2020-11-30 20:38:53"
"abdulkhaliq";"Messaging-Evaluation";\N;"29";"2020-11-30 16:16:27";"2020-11-30 16:32:21"
"abdulkhaliq";"Messaging-Evaluation";\N;"30";"2020-11-30 16:32:28";"2020-11-30 18:54:51"
"abdulkhaliq";"Messaging-Evaluation";\N;"31";"2020-11-30 16:32:28";"2020-11-30 18:54:51"
"abdullah";"Big-Data-Stream-Evaluation";\N;"222";"2020-12-01 12:25:05";"2020-12-01 13:26:39"
"abdullah";"Big-Data-Stream-Evaluation";\N;"627";"2020-12-05 18:12:29";"2020-12-05 18:57:30"
"abdullah";"Big-Data-Stream-Evaluation";\N;"646";"2020-12-05 18:57:54";"2020-12-05 21:30:04"
"abdullah";"Conceptual-Design";\N;"684";"2020-12-05 22:05:53";"2020-12-05 22:47:41"
"abdullah";"Conceptual-Design";\N;"686";"2020-12-05 22:05:53";"2020-12-05 22:47:41"
"abdullah";"Conceptual-Design";\N;"689";"2020-12-05 22:05:53";"2020-12-05 22:47:41"
"abdullah";"JSON-Search";\N;"679";"2020-12-05 21:30:04";"2020-12-05 22:05:53"
"abdullah";"JSON-Search";\N;"680";"2020-12-05 21:30:04";"2020-12-05 22:05:53"
"abdullah";"JSON-Search";\N;"683";"2020-12-05 21:30:04";"2020-12-05 22:05:53"
"arora";"Big-Data-Stream-Evaluation";\N;"218";"2020-12-01 12:19:47";"2020-12-03 13:35:00"
"arora";"Big-Data-Stream-Evaluation";\N;"394";"2020-12-03 13:35:28";"2020-12-03 14:36:35"
"arora";"Big-Data-Stream-Evaluation";\N;"608";"2020-12-05 10:06:11";"2020-12-05 11:40:43"
"arora";"Big-Data-Stream-Evaluation";\N;"622";"2020-12-05 17:01:22";"2020-12-05 17:48:57"
"arora";"Conceptual-Design";\N;"720";"2020-12-06 05:40:03";\N
"arora";"Conceptual-Design";\N;"732";"2020-12-06 06:49:28";\N
"arora";"Conceptual-Design";\N;"737";"2020-12-06 06:49:28";\N
"arora";"Conceptual-Design";\N;"742";"2020-12-06 06:49:28";\N
